epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.883,1.02012,1.75086,1.57836,0.85326,0.75764,0.79107,0.41318,1.4771,2.04517,2.5179,0.000658333,0.000658333,0.000658333
2,346.2,1.07833,1.3816,1.61931,0.70405,0.67005,0.65997,0.29108,1.75024,1.96468,2.95815,0.00131188,0.00131188,0.00131188
3,511.576,1.16701,1.31904,1.65943,0.69872,0.62283,0.56894,0.21422,2.0939,1.76763,3.69715,0.00195223,0.00195223,0.00195223
4,676.069,1.12463,1.20959,1.64201,0.8267,0.77074,0.83183,0.44332,1.5241,1.62102,2.22296,0.0019406,0.0019406,0.0019406
5,839.776,1.13659,1.1743,1.63847,0.84113,0.74891,0.83843,0.50452,1.33411,1.22708,1.94093,0.0019208,0.0019208,0.0019208
6,1004.01,1.05632,1.04642,1.57022,0.91218,0.80349,0.8784,0.53001,1.36612,1.08182,2.02125,0.001901,0.001901,0.001901
7,1167.83,1.06791,1.07637,1.59825,0.86744,0.80131,0.85184,0.45944,1.44388,1.21426,2.09622,0.0018812,0.0018812,0.0018812
8,1330.32,1.03605,1.02282,1.56482,0.80186,0.7599,0.84864,0.52266,1.25531,1.13406,1.82982,0.0018614,0.0018614,0.0018614
9,1493.51,1.03687,1.03424,1.56158,0.90291,0.83254,0.90181,0.5549,1.28113,1.08589,1.88939,0.0018416,0.0018416,0.0018416
10,1655.9,0.9929,0.99644,1.53113,0.89865,0.77437,0.84891,0.48534,1.44468,1.06079,2.1764,0.0018218,0.0018218,0.0018218
11,1816.89,1.01954,0.98105,1.54517,0.91925,0.8559,0.91696,0.57812,1.18338,0.93282,1.7619,0.001802,0.001802,0.001802
12,1977.96,1.00056,0.98991,1.52067,0.94281,0.86385,0.92646,0.60965,1.1884,0.85328,1.75697,0.0017822,0.0017822,0.0017822
13,2139.55,0.94263,0.9194,1.5066,0.93247,0.88865,0.93813,0.62395,1.13021,0.80302,1.68431,0.0017624,0.0017624,0.0017624
14,2300.71,0.9587,0.9273,1.50206,0.8739,0.84061,0.87575,0.51468,1.40366,1.05326,2.08837,0.0017426,0.0017426,0.0017426
15,2462.47,0.94746,0.92561,1.49818,0.91338,0.83843,0.91024,0.57007,1.21502,0.9038,1.82358,0.0017228,0.0017228,0.0017228
16,2623.35,0.94898,0.92274,1.4968,0.92505,0.81441,0.90884,0.55628,1.28985,0.89596,1.8802,0.001703,0.001703,0.001703
17,2784.94,0.92473,0.90353,1.48661,0.93344,0.88799,0.94213,0.64013,1.10375,0.78154,1.65774,0.0016832,0.0016832,0.0016832
18,2947.16,0.92333,0.91114,1.48965,0.93636,0.90175,0.93866,0.66252,1.01426,0.685,1.59296,0.0016634,0.0016634,0.0016634
