epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.633,1.02012,1.75086,1.57836,0.85326,0.75764,0.79107,0.41318,1.4771,2.04517,2.5179,0.000658333,0.000658333,0.000658333
2,328.06,1.07618,1.38022,1.61717,0.65303,0.73557,0.67581,0.2951,1.66831,2.347,2.71311,0.00129877,0.00129877,0.00129877
3,491.648,1.18246,1.35411,1.67895,0.65172,0.64192,0.59927,0.2487,1.99714,1.80939,2.89125,0.0019128,0.0019128,0.0019128
4,643.436,1.12753,1.25435,1.64737,0.90191,0.80301,0.86419,0.48764,1.39347,1.28792,2.15972,0.0018812,0.0018812,0.0018812
5,797.996,1.13259,1.17606,1.63557,0.83223,0.75546,0.76006,0.39359,1.65044,1.43035,2.69613,0.0018416,0.0018416,0.0018416
6,950.535,1.03184,1.05256,1.55999,0.90919,0.83066,0.90687,0.5328,1.39277,1.06117,2.01566,0.001802,0.001802,0.001802
7,1101.63,1.06232,1.08359,1.58631,0.85498,0.75983,0.80648,0.43283,1.51122,1.18603,2.30556,0.0017624,0.0017624,0.0017624
8,1252.29,1.02729,1.03714,1.55831,0.87398,0.81769,0.8357,0.49453,1.41055,1.05795,2.11148,0.0017228,0.0017228,0.0017228
9,1403,1.01608,1.01174,1.54083,0.89829,0.89083,0.93699,0.62646,1.10867,0.88243,1.67523,0.0016832,0.0016832,0.0016832
10,1554.78,0.97862,0.97122,1.52179,0.92182,0.84956,0.90948,0.61825,1.10436,0.88869,1.70582,0.0016436,0.0016436,0.0016436
11,1706.67,0.98565,0.96739,1.52587,0.91276,0.86807,0.92174,0.59098,1.15696,0.96468,1.73557,0.001604,0.001604,0.001604
12,1858.86,0.96996,0.98555,1.50317,0.94306,0.84061,0.91603,0.62592,1.10898,0.82837,1.67055,0.0015644,0.0015644,0.0015644
13,2010.72,0.90943,0.91169,1.47557,0.93792,0.86681,0.91903,0.61568,1.17165,0.86911,1.74946,0.0015248,0.0015248,0.0015248
14,2163.06,0.93284,0.91681,1.47804,0.9087,0.83624,0.91484,0.59622,1.11736,0.97493,1.69539,0.0014852,0.0014852,0.0014852
15,2315.03,0.91783,0.89465,1.47616,0.91076,0.86902,0.92597,0.62108,1.10924,0.83847,1.71141,0.0014456,0.0014456,0.0014456
16,2467.23,0.91831,0.88865,1.47278,0.91482,0.86681,0.92599,0.58585,1.19693,0.85062,1.80517,0.001406,0.001406,0.001406
17,2619.32,0.89996,0.88808,1.46665,0.95547,0.89014,0.94581,0.68182,0.97216,0.71852,1.50958,0.0013664,0.0013664,0.0013664
18,2771.9,0.89053,0.87797,1.46188,0.9358,0.89956,0.94296,0.67872,0.98468,0.7089,1.58517,0.0013268,0.0013268,0.0013268
19,2923.54,0.83664,0.81761,1.40634,0.93981,0.86026,0.93288,0.62107,1.09883,0.79798,1.66194,0.0012872,0.0012872,0.0012872
20,3078.38,0.86526,0.82115,1.42404,0.93037,0.90611,0.95146,0.69963,0.93818,0.68796,1.46879,0.0012476,0.0012476,0.0012476
21,3232.39,0.85554,0.83447,1.42306,0.92758,0.89491,0.94186,0.67858,0.94801,0.70322,1.53091,0.001208,0.001208,0.001208
22,3386.44,0.84301,0.80792,1.41803,0.95839,0.90514,0.95294,0.69255,0.91539,0.64739,1.45657,0.0011684,0.0011684,0.0011684
23,3540.4,0.82681,0.78828,1.40148,0.95148,0.9083,0.95852,0.7129,0.9059,0.62086,1.43214,0.0011288,0.0011288,0.0011288
24,3694.58,0.82968,0.78504,1.40533,0.94952,0.90347,0.94428,0.69052,0.93011,0.64752,1.48977,0.0010892,0.0010892,0.0010892
25,3848.48,0.82788,0.79506,1.39771,0.9313,0.91762,0.95059,0.71028,0.89296,0.62236,1.44926,0.0010496,0.0010496,0.0010496
26,4001.4,0.83062,0.79394,1.40085,0.94954,0.90384,0.94473,0.6986,0.93638,0.64921,1.47607,0.00101,0.00101,0.00101
27,4153.35,0.81193,0.75945,1.38846,0.95427,0.91123,0.95685,0.71433,0.88934,0.6043,1.43702,0.0009704,0.0009704,0.0009704
