epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.015,0.67865,0.61441,1.18575,0.9164,0.86125,0.91572,0.70405,0.92759,0.58646,1.35341,0.000552258,0.000552258,0.000552258
2,645.975,0.71179,0.65313,1.1972,0.89445,0.83853,0.89305,0.66809,0.98541,0.64011,1.40377,0.00108964,0.00108964,0.00108964
3,961.854,0.74217,0.70446,1.22763,0.85867,0.84976,0.89956,0.66029,1.01272,0.72793,1.42857,0.00160869,0.00160869,0.00160869
4,1276.59,0.74482,0.72195,1.23346,0.91532,0.82356,0.89862,0.66821,0.99192,0.68246,1.40005,0.00158448,0.00158448,0.00158448
5,1591.45,0.75472,0.73478,1.23696,0.87883,0.84946,0.90475,0.66785,0.99331,0.66253,1.40299,0.00155698,0.00155698,0.00155698
6,1906.45,0.74747,0.72859,1.2292,0.90542,0.84101,0.90193,0.66862,1.00757,0.66051,1.43253,0.00152947,0.00152947,0.00152947
7,2221.32,0.76893,0.74409,1.24961,0.90449,0.84902,0.90795,0.66706,1.0009,0.63547,1.40028,0.00150197,0.00150197,0.00150197
8,2536.72,0.75121,0.73606,1.23996,0.88335,0.86461,0.90903,0.68462,0.96546,0.65186,1.36419,0.00147446,0.00147446,0.00147446
9,2839.61,0.76789,0.72899,1.23982,0.88088,0.85778,0.90883,0.66534,0.986,0.63556,1.3821,0.00144696,0.00144696,0.00144696
10,3136.41,0.762,0.71454,1.2332,0.85652,0.8477,0.88932,0.66481,0.98623,0.70445,1.3898,0.00141945,0.00141945,0.00141945
11,3431.23,0.76814,0.72197,1.2389,0.90045,0.85268,0.90328,0.67375,0.95724,0.64727,1.37717,0.00139195,0.00139195,0.00139195
12,3739.07,0.7602,0.72454,1.24477,0.8851,0.86186,0.90514,0.68404,0.96737,0.6251,1.38236,0.00136444,0.00136444,0.00136444
13,4057.3,0.75376,0.73207,1.2313,0.90199,0.85413,0.91177,0.68061,0.95459,0.64858,1.37161,0.00133693,0.00133693,0.00133693
14,4376.42,0.76726,0.71015,1.22937,0.89178,0.85701,0.90803,0.68002,0.97094,0.66329,1.37742,0.00130943,0.00130943,0.00130943
15,4694.64,0.73616,0.68664,1.21425,0.88263,0.87539,0.90896,0.68871,0.97726,0.63589,1.38597,0.00128192,0.00128192,0.00128192
16,5012.73,0.73913,0.70284,1.22501,0.89325,0.86016,0.90676,0.67936,0.99251,0.62348,1.39325,0.00125442,0.00125442,0.00125442
