epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.866,0.80149,1.06973,1.31994,0.87104,0.81676,0.86641,0.63753,1.00732,0.7547,1.4131,0.000552237,0.000552237,0.000552237
2,658.966,0.83845,0.96285,1.33585,0.8584,0.8135,0.8634,0.62883,1.00028,0.80123,1.39596,0.00109419,0.00109419,0.00109419
3,954.098,0.86264,0.98165,1.32927,0.77454,0.74324,0.81201,0.56034,1.07098,1.13906,1.48303,0.0016224,0.0016224,0.0016224
4,1262.94,0.86673,0.98384,1.34268,0.86159,0.81645,0.86177,0.61633,1.04938,0.86231,1.46313,0.00160511,0.00160511,0.00160511
5,1574.54,0.85582,0.93987,1.33015,0.88926,0.80025,0.87547,0.61496,1.04519,0.86061,1.43464,0.00158448,0.00158448,0.00158448
6,1885.7,0.87905,0.95003,1.34643,0.88413,0.81663,0.87614,0.6347,1.00117,0.77915,1.40108,0.00156385,0.00156385,0.00156385
7,2197.96,0.84609,0.9384,1.32794,0.84807,0.79937,0.87427,0.61952,1.02851,0.78443,1.43056,0.00154323,0.00154323,0.00154323
8,2510.54,0.84635,0.9408,1.33772,0.88086,0.83325,0.88573,0.63378,0.99994,0.73329,1.40651,0.0015226,0.0015226,0.0015226
9,2824.27,0.87267,0.92197,1.33403,0.86946,0.81732,0.8796,0.63933,1.00263,0.74833,1.40529,0.00150197,0.00150197,0.00150197
10,3138.33,0.84553,0.92045,1.32182,0.85339,0.8366,0.88286,0.64023,1.02721,0.7437,1.4162,0.00148134,0.00148134,0.00148134
11,3453.55,0.85262,0.89158,1.31798,0.90099,0.81819,0.88394,0.6452,1.01196,0.72724,1.40405,0.00146071,0.00146071,0.00146071
12,3768.89,0.8407,0.88203,1.30802,0.88742,0.82864,0.89138,0.65097,1.00911,0.74545,1.40025,0.00144008,0.00144008,0.00144008
13,4084.95,0.83005,0.86017,1.30668,0.8409,0.83886,0.88349,0.65013,0.99722,0.74676,1.39748,0.00141945,0.00141945,0.00141945
14,4402.02,0.83941,0.86817,1.30268,0.88568,0.83436,0.87321,0.62524,1.0103,0.80414,1.41951,0.00139882,0.00139882,0.00139882
15,4719.43,0.8375,0.85991,1.30957,0.87739,0.82552,0.87853,0.64686,0.96978,0.72226,1.3695,0.00137819,0.00137819,0.00137819
16,5037.28,0.8179,0.85134,1.29802,0.86807,0.86227,0.8982,0.66178,0.97315,0.69495,1.37328,0.00135756,0.00135756,0.00135756
