epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,5354.82,0.80867,0.84728,1.28216,0.8847,0.82,0.88612,0.65721,0.98459,0.73333,1.37733,0.00133693,0.00133693,0.00133693
18,5673.03,0.82131,0.83399,1.29274,0.8834,0.84075,0.88694,0.64877,0.98079,0.70362,1.3799,0.0013163,0.0013163,0.0013163
19,5990.99,0.80488,0.82428,1.27952,0.88352,0.84353,0.90148,0.68097,0.95419,0.72927,1.3426,0.00129568,0.00129568,0.00129568
20,6309.23,0.82089,0.82892,1.28505,0.86843,0.83007,0.88111,0.63127,1.02114,0.72602,1.43081,0.00127505,0.00127505,0.00127505
21,6625.83,0.79675,0.82656,1.2869,0.89009,0.84632,0.89919,0.65503,0.97556,0.695,1.37294,0.00125442,0.00125442,0.00125442
22,6943.08,0.78924,0.81322,1.27378,0.89446,0.84199,0.89268,0.65614,0.96508,0.67998,1.37145,0.00123379,0.00123379,0.00123379
23,7259.79,0.78473,0.79323,1.26912,0.89647,0.86018,0.90717,0.68527,0.95437,0.64305,1.34427,0.00121316,0.00121316,0.00121316
24,7574.82,0.7932,0.78686,1.27854,0.89188,0.85863,0.90321,0.67252,0.95017,0.67095,1.34217,0.00119253,0.00119253,0.00119253
25,7871,0.79032,0.7905,1.27202,0.90128,0.86004,0.91001,0.67036,0.98837,0.64757,1.36869,0.0011719,0.0011719,0.0011719
26,8155.75,0.79488,0.79485,1.2624,0.8841,0.85067,0.89978,0.66444,0.99801,0.67143,1.38693,0.00115127,0.00115127,0.00115127
27,8437.6,0.76731,0.77228,1.25603,0.894,0.85404,0.90505,0.67946,0.95259,0.67351,1.34636,0.00113064,0.00113064,0.00113064
28,8721.5,0.77635,0.76083,1.26333,0.8946,0.84462,0.8942,0.66893,0.95807,0.64969,1.34952,0.00111001,0.00111001,0.00111001
29,9004.25,0.77977,0.76284,1.26485,0.89824,0.86047,0.90978,0.68611,0.96451,0.62098,1.35459,0.00108938,0.00108938,0.00108938
30,9286.71,0.77492,0.75678,1.25726,0.89365,0.86164,0.90786,0.67826,0.95039,0.65046,1.34033,0.00106876,0.00106876,0.00106876
31,9568.67,0.77297,0.76482,1.25619,0.89142,0.86634,0.91562,0.69613,0.92303,0.60762,1.32227,0.00104813,0.00104813,0.00104813
32,9850.47,0.77616,0.75237,1.25987,0.90994,0.84427,0.90425,0.67338,0.95317,0.65473,1.34393,0.0010275,0.0010275,0.0010275
33,10128.4,0.75379,0.75213,1.25012,0.89923,0.85051,0.90879,0.68337,0.95813,0.64677,1.36074,0.00100687,0.00100687,0.00100687
34,10407.7,0.74754,0.73203,1.24293,0.89642,0.85124,0.90794,0.67499,0.95984,0.65977,1.35429,0.000986239,0.000986239,0.000986239
35,10684.9,0.74249,0.71978,1.23516,0.90782,0.84563,0.90763,0.68824,0.94541,0.62502,1.34701,0.00096561,0.00096561,0.00096561
36,10963.3,0.74901,0.70733,1.23326,0.91206,0.84971,0.91111,0.69509,0.93992,0.61811,1.33756,0.000944981,0.000944981,0.000944981
37,11241.7,0.7584,0.73166,1.2554,0.89451,0.87276,0.90669,0.68624,0.95002,0.63306,1.35066,0.000924352,0.000924352,0.000924352
38,11518.4,0.74741,0.72825,1.23955,0.90193,0.87527,0.91703,0.69962,0.94252,0.60216,1.34157,0.000903722,0.000903722,0.000903722
39,11797.2,0.7507,0.70869,1.24273,0.90764,0.8459,0.90594,0.67549,0.9711,0.65524,1.36881,0.000883093,0.000883093,0.000883093
40,12074,0.74219,0.69368,1.23726,0.89655,0.88282,0.91525,0.69619,0.93381,0.6015,1.34048,0.000862464,0.000862464,0.000862464
41,12352.2,0.72989,0.69952,1.23206,0.91821,0.84524,0.91501,0.69917,0.92059,0.60103,1.33562,0.000841835,0.000841835,0.000841835
42,12630.2,0.74108,0.69288,1.23097,0.90519,0.8609,0.91011,0.69212,0.94001,0.6257,1.35577,0.000821206,0.000821206,0.000821206
43,12908.4,0.75,0.6988,1.23068,0.90588,0.84902,0.91194,0.68448,0.96271,0.63808,1.36315,0.000800577,0.000800577,0.000800577
44,13186.8,0.72341,0.68976,1.22341,0.89649,0.84963,0.91063,0.68351,0.94885,0.59574,1.35253,0.000779948,0.000779948,0.000779948
45,13466.3,0.70214,0.67938,1.20981,0.90227,0.86496,0.90961,0.68788,0.94829,0.61255,1.35648,0.000759318,0.000759318,0.000759318
46,13743.6,0.71383,0.67039,1.21747,0.89894,0.8724,0.9156,0.70559,0.93889,0.58847,1.34455,0.000738689,0.000738689,0.000738689
47,14022.8,0.72231,0.66182,1.21448,0.91782,0.86211,0.91833,0.70275,0.93359,0.59205,1.33656,0.00071806,0.00071806,0.00071806
48,14298.7,0.69737,0.66073,1.20776,0.89162,0.88026,0.91597,0.69905,0.93124,0.5966,1.34031,0.000697431,0.000697431,0.000697431
49,14572.7,0.72457,0.67439,1.22066,0.88962,0.8747,0.9133,0.69053,0.94697,0.60219,1.3507,0.000676802,0.000676802,0.000676802
50,14847.3,0.70632,0.66011,1.21487,0.90593,0.8728,0.91495,0.69422,0.94854,0.58462,1.3532,0.000656173,0.000656173,0.000656173
51,15144.1,0.70326,0.65419,1.21548,0.88785,0.8699,0.90649,0.70005,0.92395,0.62086,1.32553,0.000635544,0.000635544,0.000635544
52,15453.8,0.69666,0.67042,1.20018,0.9146,0.87401,0.91678,0.70237,0.91643,0.58754,1.31827,0.000614915,0.000614915,0.000614915
53,15765,0.68262,0.6515,1.20607,0.90833,0.85405,0.90986,0.69467,0.92778,0.59569,1.32721,0.000594286,0.000594286,0.000594286
54,16076.8,0.7206,0.65206,1.21531,0.91283,0.87165,0.91611,0.70788,0.90826,0.5798,1.31518,0.000573656,0.000573656,0.000573656
55,16388.5,0.70342,0.64954,1.20676,0.90092,0.87426,0.9144,0.69826,0.92613,0.57359,1.33664,0.000553027,0.000553027,0.000553027
56,16700.9,0.68344,0.63628,1.20089,0.90451,0.87002,0.91427,0.69969,0.92551,0.58286,1.33369,0.000532398,0.000532398,0.000532398
57,17014.8,0.69949,0.63489,1.19642,0.90695,0.85867,0.91389,0.70318,0.9309,0.57467,1.3477,0.000511769,0.000511769,0.000511769
58,17328.8,0.68897,0.62542,1.19762,0.90337,0.868,0.91361,0.70299,0.91969,0.57644,1.34636,0.00049114,0.00049114,0.00049114
59,17643.5,0.68029,0.61423,1.19033,0.91105,0.87286,0.91812,0.70325,0.94259,0.57841,1.35401,0.000470511,0.000470511,0.000470511
60,17954.1,0.67973,0.60829,1.19635,0.9116,0.8752,0.91493,0.70352,0.92422,0.57655,1.34078,0.000449882,0.000449882,0.000449882
61,18266.2,0.67913,0.6085,1.18085,0.9165,0.85759,0.91559,0.70175,0.92742,0.57893,1.3374,0.000429253,0.000429253,0.000429253
62,18577.8,0.66698,0.60932,1.19093,0.90659,0.86442,0.91729,0.70336,0.93081,0.57592,1.33983,0.000408623,0.000408623,0.000408623
63,18889.8,0.67259,0.60243,1.1736,0.91757,0.86856,0.91816,0.70371,0.9222,0.57926,1.3316,0.000387994,0.000387994,0.000387994
64,19201.3,0.66738,0.59817,1.18341,0.92371,0.86992,0.92332,0.70912,0.91612,0.57546,1.32718,0.000367365,0.000367365,0.000367365
65,19512.7,0.67095,0.59595,1.17869,0.90379,0.88512,0.92023,0.71272,0.92012,0.57077,1.32312,0.000346736,0.000346736,0.000346736
66,19823.5,0.65925,0.5866,1.18137,0.90335,0.88911,0.91984,0.70734,0.92594,0.56887,1.3359,0.000326107,0.000326107,0.000326107
67,20133.9,0.64093,0.57556,1.16941,0.92014,0.86793,0.91953,0.70229,0.92697,0.57105,1.33664,0.000305478,0.000305478,0.000305478
68,20445.5,0.6577,0.58951,1.17993,0.90646,0.88171,0.91544,0.70934,0.91753,0.57567,1.33305,0.000284849,0.000284849,0.000284849
69,20758,0.66701,0.58493,1.1728,0.91192,0.87568,0.916,0.70765,0.91915,0.57609,1.32904,0.00026422,0.00026422,0.00026422
70,21069.7,0.64929,0.57258,1.17043,0.90602,0.87977,0.91845,0.70827,0.92079,0.56661,1.34137,0.00024359,0.00024359,0.00024359
71,21377.6,0.62145,0.51881,1.20185,0.90138,0.87829,0.91423,0.70025,0.91205,0.57378,1.3354,0.000222961,0.000222961,0.000222961
72,21684.5,0.59563,0.46804,1.17308,0.90446,0.88399,0.91196,0.69945,0.92209,0.58343,1.33775,0.000202332,0.000202332,0.000202332
73,21991.7,0.57776,0.45685,1.15653,0.91084,0.86949,0.91285,0.70258,0.9199,0.57532,1.33447,0.000181703,0.000181703,0.000181703
74,22298.8,0.57932,0.4596,1.17263,0.90734,0.87632,0.9158,0.70576,0.91313,0.57205,1.33175,0.000161074,0.000161074,0.000161074
75,22606.1,0.57898,0.43963,1.1531,0.91,0.8748,0.91406,0.70533,0.90863,0.56541,1.33182,0.000140445,0.000140445,0.000140445
76,22913.4,0.56673,0.43713,1.1546,0.91055,0.8753,0.91331,0.70683,0.909,0.5699,1.33027,0.000119816,0.000119816,0.000119816
77,23209.1,0.56727,0.43216,1.15126,0.9117,0.86734,0.91118,0.70669,0.90869,0.57476,1.32736,9.91865e-05,9.91865e-05,9.91865e-05
78,23484.3,0.56769,0.42553,1.14918,0.92212,0.86152,0.91228,0.70936,0.9033,0.5685,1.32299,7.85574e-05,7.85574e-05,7.85574e-05
79,23757.8,0.56164,0.42887,1.13629,0.92064,0.86534,0.91341,0.70847,0.90847,0.56622,1.33137,5.79283e-05,5.79283e-05,5.79283e-05
80,24030.8,0.56484,0.42926,1.1445,0.92013,0.86876,0.91454,0.70829,0.90666,0.56783,1.33171,3.72991e-05,3.72991e-05,3.72991e-05
