epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2843,1.08184,2.57939,1.59425,0.00359,0.9869,0.40754,0.21112,0.92301,3.11022,1.63035,0.0001,0.0001,0.0001
2,152.867,0.99167,2.19588,1.55099,0.00358,0.98472,0.70305,0.41432,1.03206,3.01021,1.72306,0.000215644,0.000215644,0.000215644
3,229.317,0.98644,1.70222,1.53961,0.00359,0.9869,0.5571,0.28205,1.37872,3.11457,2.04045,0.000326536,0.000326536,0.000326536
4,304.915,1.02767,1.60354,1.53032,0.3876,0.81659,0.73584,0.39373,1.34125,2.8907,2.00066,0.000432676,0.000432676,0.000432676
5,379.505,0.80176,1.38972,1.37171,0.77357,0.32314,0.53377,0.1718,2.19423,3.08803,3.11883,0.000534064,0.000534064,0.000534064
6,455.447,0.91099,1.39182,1.46991,0.77839,0.59825,0.69659,0.26428,2.02747,2.85269,3.03354,0.0006307,0.0006307,0.0006307
7,532.436,0.92906,1.40854,1.43927,0.81529,0.71179,0.77684,0.36557,1.63458,2.49703,2.58694,0.000722584,0.000722584,0.000722584
8,614.278,1.06256,1.55099,1.5457,0.65523,0.64317,0.64853,0.27744,1.65926,2.5821,2.62377,0.000809716,0.000809716,0.000809716
9,729.307,0.99392,1.42151,1.5213,0.84715,0.69651,0.77292,0.39257,1.55924,2.27777,2.57431,0.000892096,0.000892096,0.000892096
10,845.554,1.02849,1.44711,1.54078,0.72492,0.63292,0.59068,0.2509,1.72675,2.43475,3.09595,0.000969724,0.000969724,0.000969724
11,935.501,0.94591,1.31335,1.4554,0.47311,0.66658,0.47001,0.17904,1.69647,2.7227,2.89429,0.0010426,0.0010426,0.0010426
12,1009.22,1.00377,1.33595,1.52886,0.58508,0.68559,0.53489,0.23221,1.60279,2.35906,3.21007,0.00111072,0.00111072,0.00111072
13,1082.56,1.0961,1.38705,1.57876,0.55317,0.66376,0.57284,0.23693,1.64944,2.44605,2.6725,0.0011741,0.0011741,0.0011741
14,1158.51,1.06304,1.36223,1.52685,0.80294,0.7295,0.7596,0.3734,1.50281,2.32776,2.6117,0.00123272,0.00123272,0.00123272
15,1233.84,1.00773,1.29837,1.46716,0.76906,0.74017,0.7289,0.36019,1.53067,2.08461,2.99928,0.00128658,0.00128658,0.00128658
16,1308.52,0.94114,1.22236,1.46603,0.72523,0.66376,0.64377,0.26326,1.78341,2.25502,3.17584,0.0013357,0.0013357,0.0013357
17,1382,0.90009,1.25246,1.46413,0.70021,0.65502,0.6376,0.26829,1.82795,2.39852,3.02531,0.0013664,0.0013664,0.0013664
18,1456.58,0.94575,1.14034,1.46417,0.76052,0.68777,0.72186,0.34017,1.66538,2.10169,2.66776,0.0013268,0.0013268,0.0013268
19,1530.71,1.05866,1.24453,1.51465,0.76805,0.72707,0.75397,0.38217,1.5502,1.91641,2.52416,0.0012872,0.0012872,0.0012872
20,1604.92,0.93895,1.10144,1.44506,0.77178,0.74891,0.75928,0.33611,1.69803,2.14052,2.72174,0.0012476,0.0012476,0.0012476
21,1678.09,0.90257,1.10451,1.39769,0.61816,0.69282,0.61823,0.21724,2.01772,2.54266,3.10417,0.001208,0.001208,0.001208
22,1752.46,0.85748,1.08388,1.41302,0.7509,0.67794,0.63148,0.2781,1.79305,1.97441,3.29884,0.0011684,0.0011684,0.0011684
23,1826.81,0.95565,1.1157,1.46713,0.75702,0.72926,0.69971,0.33864,1.68737,1.84726,2.85038,0.0011288,0.0011288,0.0011288
24,1901.03,0.80824,0.98641,1.34706,0.84432,0.78154,0.8035,0.44315,1.44055,1.56679,2.32811,0.0010892,0.0010892,0.0010892
25,1975.31,0.83893,0.98767,1.3555,0.88702,0.79694,0.82655,0.465,1.37884,1.50843,2.29989,0.0010496,0.0010496,0.0010496
26,2049.95,0.87407,0.93284,1.41298,0.85511,0.82096,0.84803,0.47098,1.38114,1.44735,2.21614,0.00101,0.00101,0.00101
27,2124.43,0.85453,0.99016,1.3614,0.89279,0.79694,0.84254,0.47266,1.39169,1.43368,2.24213,0.0009704,0.0009704,0.0009704
28,2199.53,0.83558,0.96372,1.37488,0.88617,0.81659,0.83733,0.48487,1.30577,1.40447,2.27116,0.0009308,0.0009308,0.0009308
29,2277.15,0.82978,1.00817,1.37324,0.89993,0.80349,0.83518,0.49459,1.30262,1.36864,2.27073,0.0008912,0.0008912,0.0008912
30,2351.53,0.84861,0.94406,1.38907,0.90615,0.78384,0.83657,0.48279,1.40874,1.3785,2.38132,0.0008516,0.0008516,0.0008516
31,2424.76,0.77947,0.8611,1.29356,0.88897,0.76921,0.83188,0.46004,1.50023,1.41024,2.50772,0.000812,0.000812,0.000812
32,2497.98,0.75537,0.88927,1.29902,0.89489,0.78384,0.84448,0.47259,1.46411,1.50061,2.35424,0.0007724,0.0007724,0.0007724
33,2570.66,0.77855,0.82894,1.28652,0.88042,0.81987,0.85944,0.49225,1.41119,1.48541,2.23648,0.0007328,0.0007328,0.0007328
34,2644.67,0.79083,0.87582,1.32132,0.90438,0.82601,0.88276,0.51619,1.39358,1.38038,2.18307,0.0006932,0.0006932,0.0006932
35,2718.45,0.7332,0.85968,1.28112,0.88993,0.83843,0.88105,0.52214,1.32827,1.2969,2.09105,0.0006536,0.0006536,0.0006536
36,2792.37,0.78196,0.82365,1.27452,0.8818,0.81444,0.86249,0.52989,1.2597,1.26778,2.01472,0.000614,0.000614,0.000614
37,2866.16,0.64741,0.79987,1.20655,0.87394,0.82314,0.85338,0.52205,1.27295,1.28715,2.04204,0.0005744,0.0005744,0.0005744
38,2940.14,0.7028,0.83097,1.27987,0.88811,0.79722,0.82899,0.49413,1.34431,1.38176,2.15426,0.0005348,0.0005348,0.0005348
39,3013.93,0.69381,0.82261,1.2646,0.88324,0.80786,0.83256,0.51012,1.28793,1.37234,2.07107,0.0004952,0.0004952,0.0004952
40,3087.51,0.65173,0.78541,1.22395,0.90958,0.83459,0.86224,0.53468,1.23844,1.2841,1.98886,0.0004556,0.0004556,0.0004556
41,3160.06,0.79553,1.3645,1.42084,0.90816,0.84204,0.87161,0.53806,1.23761,1.24531,1.98649,0.000416,0.000416,0.000416
42,3233.78,0.67913,1.10289,1.36218,0.91696,0.82969,0.85138,0.51431,1.28115,1.2462,2.03633,0.0003764,0.0003764,0.0003764
43,3307.31,0.61327,0.94909,1.26526,0.90071,0.81223,0.82739,0.4847,1.3538,1.31918,2.16084,0.0003368,0.0003368,0.0003368
44,3382.31,0.67343,0.95067,1.33772,0.87139,0.79694,0.79514,0.44625,1.44903,1.43463,2.3541,0.0002972,0.0002972,0.0002972
45,3455.23,0.58682,0.96287,1.24365,0.86976,0.79913,0.80201,0.45562,1.42798,1.41626,2.31383,0.0002576,0.0002576,0.0002576
46,3528.58,0.64914,0.95077,1.31532,0.87432,0.81441,0.82809,0.49022,1.32653,1.32509,2.12911,0.000218,0.000218,0.000218
47,3601.29,0.56811,0.83429,1.25973,0.88533,0.83843,0.85336,0.51802,1.2537,1.27468,2.01724,0.0001784,0.0001784,0.0001784
48,3673.59,0.54854,0.8005,1.24578,0.931,0.81659,0.86977,0.55472,1.16629,1.22917,1.87235,0.0001388,0.0001388,0.0001388
49,3747.01,0.54491,0.76964,1.26894,0.93479,0.81659,0.87977,0.56754,1.13597,1.21971,1.82832,9.92e-05,9.92e-05,9.92e-05
50,3820.65,0.59359,0.80236,1.25654,0.92328,0.8408,0.89062,0.58374,1.10971,1.20796,1.78776,5.96e-05,5.96e-05,5.96e-05
