epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.474,0.67622,2.07435,1.27895,0.82723,0.40764,0.48997,0.35939,1.10031,2.41084,1.53795,0.000549205,0.000549205,0.000549205
2,1235.1,0.71824,1.22591,1.3046,0.82456,0.4163,0.49627,0.35216,1.19237,2.15555,1.65652,0.0010912,0.0010912,0.0010912
3,1788.18,0.74021,1.08488,1.3192,0.84269,0.3907,0.51743,0.35516,1.24604,2.06566,1.69441,0.00161944,0.00161944,0.00161944
4,2341.61,0.79584,1.06292,1.352,0.49376,0.57535,0.57422,0.38544,1.21897,2.02625,1.6477,0.00160511,0.00160511,0.00160511
5,2894.62,0.79129,1.02588,1.34817,0.48845,0.65362,0.60649,0.40807,1.25291,1.86192,1.68447,0.00158448,0.00158448,0.00158448
6,3449.95,0.77488,0.96588,1.3414,0.51882,0.6428,0.6329,0.42845,1.19595,1.70493,1.60033,0.00156385,0.00156385,0.00156385
7,4006.47,0.77432,0.95809,1.34204,0.64372,0.63815,0.69107,0.47505,1.26286,1.46535,1.65078,0.00154323,0.00154323,0.00154323
8,4672.73,0.79589,0.95749,1.35661,0.65779,0.6311,0.66889,0.45606,1.26853,1.49094,1.68578,0.0015226,0.0015226,0.0015226
9,5225.38,0.75477,0.87247,1.32633,0.62675,0.66731,0.6907,0.47134,1.20031,1.6164,1.61401,0.00150197,0.00150197,0.00150197
10,5776.84,0.75938,0.87881,1.32155,0.76311,0.66437,0.74343,0.50678,1.187,1.33636,1.61266,0.00148134,0.00148134,0.00148134
11,6331.82,0.7513,0.87268,1.33209,0.61262,0.57723,0.62528,0.41156,1.21299,1.77538,1.65643,0.00146071,0.00146071,0.00146071
12,6886.16,0.76279,0.87123,1.32878,0.7905,0.62069,0.7294,0.5107,1.20561,1.38474,1.64564,0.00144008,0.00144008,0.00144008
13,7436.98,0.74989,0.84802,1.33057,0.80009,0.62448,0.73024,0.51537,1.20383,1.36565,1.61534,0.00141945,0.00141945,0.00141945
14,7994.17,0.75704,0.82816,1.33782,0.8282,0.69418,0.77308,0.55074,1.14015,1.15387,1.55438,0.00139882,0.00139882,0.00139882
15,8546.58,0.75647,0.81677,1.32208,0.80662,0.68277,0.75518,0.53123,1.18107,1.2153,1.57306,0.00137819,0.00137819,0.00137819
16,9100.76,0.72981,0.77957,1.3092,0.83127,0.6971,0.77682,0.54682,1.15015,1.16771,1.57772,0.00135756,0.00135756,0.00135756
17,9656.3,0.73539,0.7717,1.31629,0.81331,0.68984,0.76117,0.51164,1.20921,1.24896,1.62622,0.00133693,0.00133693,0.00133693
18,10213.5,0.7409,0.78101,1.30556,0.82873,0.65764,0.7563,0.53398,1.18137,1.2477,1.58057,0.0013163,0.0013163,0.0013163
19,10769.4,0.74337,0.78791,1.31286,0.73779,0.67616,0.73888,0.5034,1.19945,1.25494,1.63195,0.00129568,0.00129568,0.00129568
20,11323.8,0.73692,0.79103,1.30677,0.76696,0.68026,0.73579,0.51732,1.17222,1.21847,1.61178,0.00127505,0.00127505,0.00127505
21,11876.8,0.73047,0.74161,1.3117,0.81006,0.71393,0.76319,0.52859,1.13426,1.12556,1.53665,0.00125442,0.00125442,0.00125442
22,12426,0.70718,0.74608,1.29413,0.84118,0.75259,0.80607,0.5686,1.13329,1.05261,1.54268,0.00123379,0.00123379,0.00123379
