epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,751.57,1.21365,20.4189,1.60355,0,0,0,0,0,166.504,0,0.000658333,0.000658333,0.000658333
2,1461.89,1.76163,11.2964,2.13012,0,0,0,0,0,75.3278,0,0.00129877,0.00129877,0.00129877
3,2122.96,2.1247,8.49813,2.47534,0,0,0,0,0,45.099,0,0.0019128,0.0019128,0.0019128
4,2783.33,2.21296,5.80316,2.52112,0,0,0,0,0,17.8563,0,0.0018812,0.0018812,0.0018812
5,3445.56,2.15942,5.16372,2.46163,0,0,0,0,0,9.93269,0,0.0018416,0.0018416,0.0018416
6,4097.78,2.4972,4.43878,2.76624,0,0,0,0,0,6.19088,0,0.001802,0.001802,0.001802
7,4742.2,2.27333,4.40924,2.56813,0,0,0,0,0,3.53048,0,0.0017624,0.0017624,0.0017624
8,5379.87,2.2164,4.25885,2.44982,0,0,0,0,0,4.60109,0,0.0017228,0.0017228,0.0017228
9,6021.92,2.27962,4.37809,2.66857,0,0,0,0,0,4.75558,0,0.0016832,0.0016832,0.0016832
10,6675.73,2.23462,4.34026,2.6202,0,0,0,0,0,4.68955,0,0.0016436,0.0016436,0.0016436
11,7321.53,2.25228,4.3861,2.63701,0,0,0,0,0,4.29209,0,0.001604,0.001604,0.001604
12,7975.92,2.23597,4.35504,2.53274,0,0,0,0,0,5.34309,0,0.0015644,0.0015644,0.0015644
13,8630.53,2.13554,4.26636,2.42944,0,0,0,0,0,4.68619,0,0.0015248,0.0015248,0.0015248
14,9164.62,2.23872,4.1561,2.48697,0,0,0,0,0,4.69373,0,0.0014852,0.0014852,0.0014852
15,9717.92,2.19492,4.23211,2.50241,0,0,0,0,0,5.08372,0,0.0014456,0.0014456,0.0014456
16,10215.5,2.0478,4.28634,2.34274,0,0,0,0,0,5.04,0,0.001406,0.001406,0.001406
17,10682.7,2.03412,4.18971,2.32241,0,0,0,0,0,4.16944,0,0.0013664,0.0013664,0.0013664
18,11142.5,2.15696,4.27681,2.37584,0,0,0,0,0,4.17706,0,0.0013268,0.0013268,0.0013268
19,11602.2,2.20334,4.34325,2.50183,0,0,0,0,0,4.68381,0,0.0012872,0.0012872,0.0012872
20,12063.2,1.98597,4.18951,2.32203,0,0,0,0,0,4.79743,0,0.0012476,0.0012476,0.0012476
21,12527.1,2.08066,4.23749,2.38389,0,0,0,0,0,4.56568,0,0.001208,0.001208,0.001208
22,13012.1,2.13148,4.38377,2.46582,0,0,0,0,0,4.54054,0,0.0011684,0.0011684,0.0011684
23,13587.8,2.06887,4.29742,2.35287,0,0,0,0,0,4.701,0,0.0011288,0.0011288,0.0011288
24,14056.4,2.02517,4.22655,2.37264,0,0,0,0,0,5.29914,0,0.0010892,0.0010892,0.0010892
25,14521.2,2.03207,4.24105,2.33327,0,0,0,0,0,6.39413,0,0.0010496,0.0010496,0.0010496
26,14983.4,2.26464,4.39189,2.47722,0,0,0,0,0,6.25472,0,0.00101,0.00101,0.00101
27,15449.2,2.01492,4.20825,2.28457,0,0,0,0,0,5.81186,0,0.0009704,0.0009704,0.0009704
28,15913.2,2.10918,4.32917,2.38026,0,0,0,0,0,5.64898,0,0.0009308,0.0009308,0.0009308
29,16378.4,2.01343,4.36125,2.31019,0,0,0,0,0,5.52735,0,0.0008912,0.0008912,0.0008912
30,16842.5,2.07619,4.28328,2.36997,0,0,0,0,0,5.74502,0,0.0008516,0.0008516,0.0008516
31,17306.8,1.99024,4.13936,2.25502,0,0,0,0,0,5.92,0,0.000812,0.000812,0.000812
32,17769,1.92316,4.19301,2.26048,0,0,0,0,0,5.31353,0,0.0007724,0.0007724,0.0007724
33,18234.9,1.98579,4.17139,2.31251,0,0,0,0,0,5.25938,0,0.0007328,0.0007328,0.0007328
34,18697.1,1.96648,4.26933,2.32107,0,0,0,0,0,6.80099,0,0.0006932,0.0006932,0.0006932
35,19162.8,1.84519,3.98721,2.15737,0,0,0,0,0,6.12095,0,0.0006536,0.0006536,0.0006536
36,19625,2.03136,4.27816,2.40329,0,0,0,0,0,5.11298,0,0.000614,0.000614,0.000614
37,20091.1,1.79789,4.11364,2.11772,0,0,0,0,0,4.4841,0,0.0005744,0.0005744,0.0005744
38,20564.7,1.9832,4.25197,2.2832,0,0,0,0,0,6.42474,0,0.0005348,0.0005348,0.0005348
39,21032.4,2.01269,4.24207,2.31038,0,0,0,0,0,8.38225,0,0.0004952,0.0004952,0.0004952
40,21502.3,1.88064,4.15001,2.23781,0,0,0,0,0,6.16876,0,0.0004556,0.0004556,0.0004556
41,21962.6,1.51984,3.63725,1.9466,0,0,0,0,0,4.61874,0,0.000416,0.000416,0.000416
42,22419,1.48561,3.38287,1.95177,0,0,0,0,0,3.76269,0,0.0003764,0.0003764,0.0003764
43,22876.1,1.3083,3.0177,1.76952,0,0,0,0,0,2.87324,0,0.0003368,0.0003368,0.0003368
44,23333,1.28848,2.97847,1.81171,0,0,0,0,0,2.29832,0,0.0002972,0.0002972,0.0002972
45,23788.1,1.37198,2.95785,1.84358,0,0,0,0,0,1.93837,0,0.0002576,0.0002576,0.0002576
46,24244.1,1.31159,2.86703,1.80546,0,0,0,0,0,2.30422,0,0.000218,0.000218,0.000218
47,24701.4,1.30348,2.88947,1.75538,0,0,0,0,0,1.79782,0,0.0001784,0.0001784,0.0001784
48,25158.2,1.24627,2.8959,1.78741,0,0,0,0,0,2.51449,0,0.0001388,0.0001388,0.0001388
49,25614.7,1.25015,2.85383,1.81776,0,0,0,0,0,2.18658,0,9.92e-05,9.92e-05,9.92e-05
50,26072.7,1.42306,3.0404,1.97937,0,0,0,0,0,2.42313,0,5.96e-05,5.96e-05,5.96e-05
